序号,合作银行简称,合作业务规模,
,,业务规模（万元）,规模占比
2,农业银行,1380145.19,98.21%
3,陕西农信,491482.77,52.48%
4,微众银行,290668.24,100%
5,邮储银行,249583.3,36.64%
6,建设银行,226343.4,82.49%
7,西安银行,173809.85,86.28%
8,中国银行,79069,35.14%
9,秦农银行,56489,71.13%
10,长安银行,45586.44,21.42%
11,村镇银行,31989.8,40.33%
12,交通银行,29279.62,13.2%
13,工商银行,27754,3.5%
14,浦发银行,23534,46.6%
15,兴业银行,13224.06,37.41%
16,招商银行,11863.26,38.93%
17,浙商银行,2539.04,25.84%
18,华夏银行,1790,35.03%
19,北京银行,1500,8.75%
20,光大银行,1400,52.04%
21,成都银行,1300,10.46%
22,恒丰银行,1300,6.72%
23,重庆银行,850,8.99%
24,平安银行,800,100%
25,渤海银行,500,100%
合计,,3142800.98,56.18%
﻿序号,担保机构简称,业务规模(万元）,规模占比
1,西安小微担保,1184030.57,30.69%
2,西安财金担保,791695.37,20.52%
3,榆林担保,389327.11,10.09%
4,宝鸡担保,281496.45,7.3%
5,咸阳担保,226767.43,5.88%
6,延安担保,204282.19,5.29%
7,安康担保,201203.45,5.21%
8,汉中担保,115774.7,3%
9,西安创新担保,77886.3,2.02%
10,循环担保,49998.32,1.3%
11,西咸担保,49201.6,1.28%
12,浐灞担保,46710.4,1.21%
13,西投保,43604.59,1.13%
14,渭南担保,41037.8,1.06%
15,铜川担保,39265.85,1.02%
16,商洛担保,29861.7,0.77%
17,靖边担保,12009,0.31%
18,黄陵担保,11250.5,0.29%
19,佳县担保,8917.1,0.23%
20,神木担保,8420,0.22%
21,曲江文化担保,7173.9,0.19%
22,杨凌担保,6020,0.16%
23,子长担保,5494,0.14%
24,长安担保,4200,0.11%
25,子洲担保,3001.1,0.08%
26,吴起担保,2750,0.07%
27,沣东担保,2667.7,0.07%
28,蒲城担保,2333,0.06%
29,西安航天担保,2032.51,0.05%
30,高陵担保,1859.2,0.05%
31,榆正担保,1680,0.04%
32,澄城担保,1635,0.04%
33,商州担保,1436,0.04%
34,安塞担保,1009,0.03%
35,绥德担保,725,0.02%
36,米脂担保,640,0.02%
37,清涧担保,535,0.01%
38,大荔担保,500,0.01%
39,吴堡担保,30,0%
合计,,3858461.83,100%
﻿序号,合作银行简称,合作业务规模,
,,业务规模（万元）,规模占比
2,农业银行,1395161.81,27.19%
3,陕西农信,922299.02,17.98%
4,工商银行,764297.17,14.9%
5,邮储银行,665330.13,12.97%
6,微众银行,290668.24,5.67%
7,建设银行,264930.9,5.16%
8,西安银行,182591.65,3.56%
9,交通银行,168352.65,3.28%
10,中国银行,142769,2.78%
11,长安银行,117084.44,2.28%
12,村镇银行,76264.85,1.49%
13,秦农银行,58565,1.14%
14,兴业银行,28117.57,0.55%
15,浦发银行,25534,0.5%
16,招商银行,13089.26,0.26%
17,浙商银行,3076.41,0.06%
18,华夏银行,2590,0.05%
19,北京银行,2450,0.05%
20,光大银行,1800,0.04%
21,恒丰银行,1300,0.03%
22,成都银行,1300,0.03%
23,重庆银行,850,0.02%
24,平安银行,800,0.02%
25,广发银行,500,0.01%
26,渤海银行,500,0.01%
27,民生银行,400,0.01%
合计,,5130622.11,100%
﻿序号,担保机构简称,业务规模(万元）,规模占比
1,西安小微担保,614947.37,26.5%
2,西安财金担保,436103.56,18.79%
3,榆林担保,346487.61,14.93%
4,宝鸡担保,212553.15,9.16%
5,安康担保,142873.65,6.16%
6,延安担保,113983.21,4.91%
7,汉中担保,87546.5,3.77%
